ID,X,Fe (wt%),Mn (wt%),Si (wt%),Al (wt%),Mg (wt%),Ti (wt%),Cu (wt%),Cr (wt%),V (wt%),Zr (wt%),Zn (wt%),2% proof stress (Mpa),Tensile strength (Mpa),Elongation (%)
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,95,125,2
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,120,145,2
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,145,165,2
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,165,185,2
A 5005 P,2,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,85,120,4
A 5005 P,2,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,165,180,2
A 5005 P,3,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,105,140,3
A 5005 P,3,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,165,180,2
A 5042 P,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,115,240,18
A 5042 P,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,300,330,3
A 5042 P,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,320,350,4
A 5042 P,2,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,230,280,6
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,55,140,10
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,130,155,2
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,150,175,3
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,170,195,1
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,190,220,1
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,110,155,5
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,135,175,3
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,160,195,6
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,180,220,2
A 5050 P,3,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,110,155,4
A 5050 P,3,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,135,175,3
A 5050 P,3,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,180,220,1
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,65,175,12
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,155,215,3
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,180,235,3
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,205,255,3
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,220,270,3
A 5052 P,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,155,215,5
A 5052 P,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,180,235,4
A 5052 P,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,205,255,4
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,155,215,3
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,180,235,4
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,205,255,4
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,220,270,3
A 5056 BD,1,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,255,295,6
A 5056 BD,1,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,360,370,2
A 5056 BD,3,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,205,280,11
A 5056 BD,3,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,265,310,8
A 5056 BD,3,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,320,360,4
A 5082 P,4,0.18,0.08,0.1,94.83,4.5,0.05,0.08,0.08,0,0,0.125,300,330,1
A 5086 P,1,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,110,245,14
A 5086 P,1,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,285,345,3
A 5086 P,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,195,275,8
A 5086 P,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,235,305,5
A 5086 P,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,265,325,4
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,195,275,8
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,235,305,6
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,265,325,4
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,285,345,3
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,75,205,11
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,175,255,5
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,205,275,4
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,225,295,3
